,dC
390,0.9065512560335891
391,0.906294757460963
392,0.9060383972571168
393,0.9057821303635082
394,0.9055259716528892
395,0.9052698906953003
396,0.9050137632422408
397,0.9047576183327413
398,0.9045013484591622
399,0.9042449315611695
400,0.9039885093380242
401,0.9037321051095846
402,0.9034757083533099
403,0.9032193184692212
404,0.9029627854072073
405,0.9027060999426471
406,0.9024492435345836
407,0.9021922018711706
408,0.9019350701263368
409,0.9016776517126275
410,0.9014201224467441
411,0.9011625157287952
412,0.9009048965707521
413,0.9006472005722072
414,0.9003894072476354
415,0.9001315514302761
416,0.8998736127890776
417,0.8996156695738511
418,0.8993576944330369
419,0.8990997364539541
420,0.8988418967210083
421,0.8985841772752376
422,0.8983265123178876
423,0.8980690931246478
424,0.8978119683313827
425,0.8975551678795203
426,0.8972988687510957
427,0.8970431935202202
428,0.8967882818297017
429,0.8965341799795392
430,0.8962809493674369
431,0.8960285763652542
432,0.895777173434907
433,0.8955267663582048
434,0.8952773277907096
435,0.895028955015972
436,0.8947817968010487
437,0.894536002617056
438,0.8942918186130927
439,0.8940496813048213
440,0.8938099240635125
441,0.8935725771803588
442,0.8933377630424285
443,0.8931056405040804
444,0.8928764523749423
445,0.8926502935729677
446,0.892427440660516
447,0.8922079007688983
448,0.8919916033405024
449,0.8917785906792093
450,0.8915689736479253
451,0.8913629021309367
452,0.8911603816533912
453,0.890961446510769
454,0.8907661056877323
455,0.8905743554134147
456,0.8903864546466937
457,0.8902023480597923
458,0.8900220331804265
459,0.8898455475881092
460,0.8896745923461439
461,0.8895093605596507
462,0.8893481923822611
463,0.8891911198062117
464,0.8890382486231755
465,0.88888945891731
466,0.8887447836527187
467,0.8886042313146496
468,0.8884676996856615
469,0.8883352588289768
470,0.8882067852279907
471,0.888082129384433
472,0.8879612210268398
473,0.8878438367122867
474,0.8877300643814992
475,0.887619967043223
476,0.8875134823796542
477,0.8874104896515767
478,0.8873108788638806
479,0.8872144341976417
480,0.8871213608481648
481,0.8870315168774185
482,0.8869449127023931
483,0.8868615870822073
484,0.8867815181645486
485,0.8867047372882811
486,0.8866311882870314
487,0.8865608536254873
488,0.8864935882373979
489,0.8864292695549538
490,0.8863678302778856
491,0.8863091555255829
492,0.8862531909539705
493,0.8861998532307508
494,0.886148934401163
495,0.8861002345247034
496,0.8860536592439308
497,0.8860089494356812
498,0.8859659366142908
499,0.8859245375425534
500,0.8858845037719542
501,0.8858457257289567
502,0.8858079285821095
503,0.8857708636304107
504,0.8857343844042447
505,0.8856983948090886
506,0.8856626038803195
507,0.8856268654083863
508,0.8855909401647184
509,0.8855545028471612
510,0.8855171224758724
511,0.885478419254589
512,0.8854381450502401
513,0.885396023265913
514,0.8853517054126196
515,0.8853046373669439
516,0.8852543934200416
517,0.8852007050034268
518,0.8851431143700187
519,0.8850812388404217
520,0.8850147968608005
521,0.8849432026579048
522,0.8848659741820493
523,0.8847827050707635
524,0.8846929579206152
525,0.8845962884031386
526,0.8844923748767497
527,0.8843801570879342
528,0.884258265069817
529,0.8841300933083348
