,J
345,3.1471703957706227e-11
346,3.1420179607868737e-11
347,3.135854977783928e-11
348,3.1293435645527894e-11
349,3.12271555435583e-11
350,3.1144699832335253e-11
351,3.105736986465436e-11
352,3.097100003375127e-11
353,3.088451207707107e-11
354,3.081265698003972e-11
355,3.075253486142017e-11
356,3.069761166300264e-11
357,3.064182632224266e-11
358,3.059388088707916e-11
359,3.0548455502398065e-11
360,3.049828152550605e-11
361,3.044971479531049e-11
362,3.039552297200021e-11
363,3.033080524298464e-11
364,3.026226274119437e-11
365,3.0202585617713093e-11
366,3.0157738909862086e-11
367,3.013369081621001e-11
368,3.012663869062687e-11
369,3.011339087929519e-11
370,3.0083847732165606e-11
371,3.0049622883798686e-11
372,3.0019238991789893e-11
373,2.9981018115355774e-11
374,2.997347896972662e-11
375,2.999598618396108e-11
376,2.998199714123286e-11
377,2.994857383658368e-11
378,2.99181878820457e-11
379,2.989181703586135e-11
380,2.9867461578003126e-11
381,2.984033449497656e-11
382,2.980616360007995e-11
383,2.9765889890434496e-11
384,2.9732725860734496e-11
385,2.970089448633743e-11
386,2.966705518511216e-11
387,2.9633884340668266e-11
388,2.959714930202746e-11
389,2.956569530786373e-11
390,2.9551121043785305e-11
391,2.954030829224536e-11
392,2.952696374221223e-11
393,2.95153578726727e-11
394,2.950464808745086e-11
395,2.9502847673794615e-11
396,2.95065312593066e-11
397,2.9514734582027527e-11
398,2.9530400929783455e-11
399,2.953917615867957e-11
400,2.953844640124434e-11
401,2.9536979527235264e-11
402,2.9536153302612516e-11
403,2.9544004418249414e-11
404,2.9561029647522475e-11
405,2.957965415475557e-11
406,2.960017096055973e-11
407,2.9616030166741174e-11
408,2.963773072138489e-11
409,2.9660627656948275e-11
410,2.9671473849981856e-11
411,2.9676651575766174e-11
412,2.9681794075916e-11
413,2.969182594665232e-11
414,2.97010313990296e-11
415,2.9709401535508835e-11
416,2.971443559179165e-11
417,2.9716537944223586e-11
418,2.9717388332061323e-11
419,2.9709588933165405e-11
420,2.969584958053665e-11
421,2.968578262795869e-11
422,2.9668488291327763e-11
423,2.9637375216288515e-11
424,2.9601736143930054e-11
425,2.9554178424241865e-11
426,2.9489366479164425e-11
427,2.9409451022185926e-11
428,2.9318825389069425e-11
429,2.92219964432624e-11
430,2.9122416003843e-11
431,2.901714280781938e-11
432,2.890390686952191e-11
433,2.879076093752873e-11
434,2.8673586561361274e-11
435,2.854223984159595e-11
436,2.8393714810816596e-11
437,2.822240233121724e-11
438,2.8011768836865994e-11
439,2.775679039143605e-11
440,2.74808652414371e-11
441,2.7196145929955676e-11
442,2.6895227308182516e-11
443,2.6571173120559326e-11
444,2.6227666059492904e-11
445,2.5862761991158644e-11
446,2.5481517365010854e-11
447,2.510392604962995e-11
448,2.472796212949328e-11
449,2.4343175909089782e-11
450,2.394337083200271e-11
451,2.3534614279788572e-11
452,2.312356408713376e-11
453,2.2710020988425928e-11
454,2.2296177578722207e-11
455,2.1867635517308492e-11
456,2.1427364446355387e-11
457,2.099042261866323e-11
458,2.0551458639035527e-11
459,2.0012350044235978e-11
460,1.936413866762076e-11
461,1.8800410565256615e-11
462,1.8330445727009297e-11
463,1.7852544631532953e-11
464,1.7375457078383228e-11
465,1.6903377884837734e-11
466,1.642891123751387e-11
467,1.5959843499235507e-11
468,1.549262782156383e-11
469,1.5028491021476623e-11
470,1.458007968801644e-11
471,1.414432693817258e-11
472,1.3725491932505023e-11
473,1.3314461759106177e-11
474,1.2894737001308675e-11
475,1.247497244574455e-11
476,1.2065751847034209e-11
477,1.1669821384774709e-11
478,1.1292657583930679e-11
479,1.0916105696166639e-11
480,1.0535910233509196e-11
481,1.0163290291228693e-11
482,9.787837839311243e-12
483,9.411411567120854e-12
484,9.03443887618457e-12
485,8.65889623249024e-12
486,8.287598754539955e-12
487,7.92566701336243e-12
488,7.579150807643812e-12
489,7.243570871011227e-12
490,6.918484426159071e-12
491,6.603145205317238e-12
492,6.295736047644533e-12
493,6.005104821648265e-12
494,5.73796807876766e-12
495,5.4877826925229705e-12
496,5.257957542914124e-12
497,5.0527623639272655e-12
498,4.862066246926032e-12
499,4.6904749964198056e-12
500,4.539505566680298e-12
501,4.41067759648415e-12
502,4.312004730941486e-12
503,4.236093417705704e-12
504,4.17415362988575e-12
505,4.134508179263054e-12
506,4.120043656542059e-12
507,4.127780101153313e-12
508,4.16803312231103e-12
509,4.25184745969936e-12
510,4.382361936012544e-12
511,4.549044704575893e-12
512,4.745951554686914e-12
513,4.978862917274938e-12
514,5.263764125634879e-12
515,5.605102989682875e-12
516,5.986431744338237e-12
517,6.409595769727541e-12
518,6.881167774760212e-12
519,7.390999151209107e-12
520,7.950787963655942e-12
521,8.572082633406157e-12
522,9.244549224500816e-12
523,9.965616143865525e-12
524,1.073747020638064e-11
525,1.155344361022287e-11
526,1.244901320917699e-11
527,1.348456180978677e-11
528,1.4403499522618093e-11
529,1.4765208366273644e-11
