,dC
231,0.4433741595459577
232,0.4426183697733367
233,0.4418519310532636
234,0.44105920491049355
235,0.4402405721210805
236,0.43943728628575784
237,0.4386391770573769
238,0.43785187961747973
239,0.4370304615018681
240,0.4362364794207332
241,0.43546652891037385
242,0.43470702240544556
243,0.4339345172879647
244,0.43315248983626986
245,0.43238090201800783
246,0.43162238236427775
247,0.43083385939490504
248,0.4300451642248465
249,0.429218015448386
250,0.4284115850735001
251,0.42757543320236013
252,0.4267315934630125
253,0.4258307675873042
254,0.42491363851288855
255,0.4239990659101941
256,0.42308118947826134
257,0.42215549883693393
258,0.4212483696315491
259,0.4203176281261237
260,0.4193888717184322
261,0.4184542339522115
262,0.41752662734041857
263,0.41659449391489123
264,0.41570428528905157
265,0.4148324067110368
266,0.41394642335799525
267,0.4130583219202191
268,0.4121832104986881
269,0.41128715800999727
270,0.4103959045959784
271,0.4095169847726229
272,0.40863548491704516
273,0.4077513954651596
274,0.4068647068222164
275,0.4059754093626864
276,0.4050834934301609
277,0.40418894933722727
278,0.4032917673653744
279,0.4023919377648648
280,0.40148945075463327
281,0.40058429652217176
282,0.3996764652234155
283,0.39876594698262946
284,0.3978527318922951
285,0.39693681001299774
286,0.3953014852940978
287,0.3940179610066078
288,0.3927291334580001
289,0.39143497554556017
290,0.39013546004498656
291,0.3888305596097851
