,dJ
497,3.7690113242128285e-12
498,1.2583526479948703e-12
499,2.2430619639362245e-12
500,3.814602171276242e-12
501,4.5711324879925375e-12
502,3.997415747552794e-12
503,3.3518598241072364e-12
504,3.1053434907876182e-12
505,3.0913765845124508e-12
506,4.969503609490677e-12
507,6.340989923303003e-12
508,5.272539021409422e-12
509,3.716301786717023e-12
510,2.984264865624198e-12
511,3.3111826350629877e-12
512,3.953086882312983e-12
513,4.293443486366066e-12
514,4.740890788533091e-12
515,4.715530747104413e-12
516,4.541518874884508e-12
517,5.317013153023646e-12
518,5.2523398196201244e-12
519,4.217900521504304e-12
520,4.0977190701034526e-12
521,4.231422600478946e-12
522,4.246128646691508e-12
523,3.495597894999909e-12
524,2.1209702232923068e-12
525,6.852113973565582e-13
526,2.454564548444269e-13
527,1.4072817986230022e-12
528,3.0408152057580063e-12
529,4.525512755681528e-12
530,5.441879285087942e-12
531,5.188743815466044e-12
532,5.025145814011293e-12
533,4.303393820416357e-12
534,3.7087009243902886e-12
535,3.5498954476605323e-12
536,1.9027084531406553e-12
537,9.634306652468164e-13
538,2.8103537654951222e-12
539,1.8475266489453487e-12
540,1.0608047458631938e-12
541,2.213686235280313e-12
542,2.1102758848816723e-12
543,2.520816054792354e-12
544,2.83227940400903e-12
545,2.1941425268405807e-12
546,2.302946638156778e-12
547,2.7162469555746914e-12
548,4.276619583789855e-13
549,2.5049627700561392e-12
550,2.792900954927276e-12
551,1.4268188146094062e-12
552,1.9676072812575018e-12
553,3.1670686034698625e-12
554,3.0924563483129945e-12
555,2.7082483921322132e-12
556,2.158540268570894e-12
557,1.1360594758317588e-12
558,1.5515949520028776e-13
559,2.3011047648134677e-13
560,7.239901236862115e-13
561,6.523123497241395e-14
562,1.137557693396001e-12
563,2.285671532960367e-12
564,1.7464669552856435e-12
565,4.135048046320908e-13
566,4.978733103516565e-13
567,3.449319253327836e-13
568,1.1937173564714346e-12
569,8.676909167433514e-13
570,2.061726690804707e-12
571,2.5295178827423753e-12
572,1.167996909488561e-12
573,1.8844481148386022e-13
574,1.2073047864188413e-12
575,1.9002124082093485e-12
576,1.6530733815656458e-12
577,9.570696522226043e-13
