,dJ
240,1.4867340965833517e-11
241,1.6087614653923367e-11
242,1.9323274112813277e-11
243,2.0930034644705764e-11
244,1.8499985856295637e-11
245,2.11300166286882e-11
246,2.9007554327249926e-11
247,3.348895531803032e-11
248,3.244126444552025e-11
249,3.3961061312303556e-11
250,4.110729126985878e-11
251,4.764270658259794e-11
252,4.6936450869516234e-11
253,4.530444943034978e-11
254,3.998011890474568e-11
255,3.691932827717689e-11
256,3.833962521198352e-11
257,3.8646825322449465e-11
258,3.9450166816619644e-11
259,3.873801655744136e-11
260,4.0356016597637195e-11
261,4.284492792737259e-11
262,4.363438680478472e-11
263,4.8019480786851696e-11
264,4.988851307751234e-11
265,5.222975329374377e-11
266,5.7495068824457926e-11
267,6.14357413290452e-11
268,6.647110283582078e-11
269,6.877398773902375e-11
270,7.342129595589785e-11
271,7.749046586602927e-11
272,7.844435830008617e-11
273,7.940775734933844e-11
274,8.038071858877506e-11
275,8.136329712659157e-11
276,8.23555475947073e-11
277,8.335752413519006e-11
278,8.436928039034212e-11
279,8.539086949165005e-11
280,8.642234404848504e-11
281,8.746375613902181e-11
282,8.851515729743268e-11
283,8.957659850646793e-11
284,9.06481301855718e-11
285,5.332838886569118e-11
286,1.1632864427106209e-10
287,2.8409662104165026e-11
288,1.5428038344927785e-11
289,2.102951391787042e-12
290,1.156098529295341e-11
291,1.8477034986462826e-11
